artigoEmPeriodico	Alexandre Jose Santana	2017	http://dx.doi.org/10.1007/s10883-016-9340-9	Hermes-Sussmann and ad-rank Conditions for Local Controllability	JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS	ROCIO, Osvaldo Germanno Do ; SANTANA, A. J. ; VERDI, M. A.		
artigoEmPeriodico	Alexandre Jose Santana	2017	http://dx.doi.org/10.3934/dcds.2017144	Topological conjugacy of linear systems on Lie groups	DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS	STELMASTCHUK, SIMÃO N. ; SANTANA, ALEXANDRE J. ; SILVA, ADRIANO DA		
artigoEmPeriodico	Alexandre Jose Santana	2016		A Splitting Theorem for Affine Skew-Product Flows	Mathematische Nachrichten	F. Colonius ; SANTANA, A. J.		
artigoEmPeriodico	Alexandre Jose Santana	2015	http://dx.doi.org/10.3842/SIGMA.2015.069	Harmonic Maps into Homogeneous Spaces According to a Darboux Homogeneous Derivative	Symmetry, Integrability and Geometry: Methods and Applications	SANTANA, ALEXANDRE J.; STELMASTCHUK, SIMÃO N.		
artigoEmPeriodico	Alexandre Jose Santana	2013	http://dx.doi.org/10.1090/S0002-9939-2013-11705-3	Invariance entropy for topological semigroup actions	American Mathematical Society. Proceedings	COLONIUS, FRITZ ; FUKUOKA, Ryuichi ; SANTANA, ALEXANDRE J.		
artigoEmPeriodico	Alexandre Jose Santana	2011		Topological conjugacy for affine-linear flows and control systems	Communications on Pure and Applied Analysis	F. Colonius ; SANTANA, A. J.		
artigoEmPeriodico	Alexandre Jose Santana	2011		On topological conjugacy of left invariant flows on semisimple and affine Lie groups	Proyecciones (Antofagasta. Impresa)	Kawan, Christoph ; ROCIO, Osvaldo Germano Do ; SANTANA, A. J.		
artigoEmPeriodico	Alexandre Jose Santana	2009		Semigroups of Affine Groups, Controllability of Affine Systems and Affine Bilinear Systems in Sl(2,R)xR2	SIAM Journal on Control and Optimization	ROCIO, Osvaldo Germano Do ; SANTANA, A. J. ; VERDI, M. A.		
artigoEmPeriodico	Alexandre Jose Santana	2009		Stability and topological conjugacy for affine differential equations	Boletim da Sociedade Paranaense de Matemática	SANTANA, A. J.; F. Colonius		
artigoEmPeriodico	Alexandre Jose Santana	2008		Invariant Cones for Semigroups in Transitive Lie Groups	Journal of Dynamical and Control Systems	ROCIO, Osvaldo Germano Do ; MARTIN, Luiz Antonio Barrera San ; SANTANA, A. J.		
artigoEmPeriodico	Alexandre Jose Santana	2006		Invariant cones and convex sets for bilinear control systems and parabolic type of semigroups	Journal of Dynamical and Control Systems	SANTANA, A. J.; MARTIN, Luiz Antonio Barrera San ; ROCIO, Osvaldo Germano Do		
artigoEmPeriodico	Alexandre Jose Santana	2005		Reversibility for semigroup actions	Proyecciones (Antofagasta)	SANTANA, A. J.; MARTIN, Luiz Antonio Barrera San ; ROCIO, Osvaldo Germano Do		
