-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.3871112,-51.9388152
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
0,0
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
-23.4209995,-51.9330558
